"filename", "language", "JavaScript", "JSON", "Markdown", "XML", "CSS", "HTML", "SCSS", "vue", "comment", "blank", "total"
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\index.js", "JavaScript", -48, 0, 0, 0, 0, 0, 0, 0, -9, -10, -67
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-0.js", "JavaScript", -395, 0, 0, 0, 0, 0, 0, 0, -32, -16, -443
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-10.js", "JavaScript", -83, 0, 0, 0, 0, 0, 0, 0, -15, -21, -119
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-11.js", "JavaScript", -106, 0, 0, 0, 0, 0, 0, 0, -16, -20, -142
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-12.js", "JavaScript", -50, 0, 0, 0, 0, 0, 0, 0, -16, -24, -90
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-13.js", "JavaScript", -177, 0, 0, 0, 0, 0, 0, 0, -29, -29, -235
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-15.js", "JavaScript", -59, 0, 0, 0, 0, 0, 0, 0, -13, -21, -93
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-16.js", "JavaScript", -71, 0, 0, 0, 0, 0, 0, 0, -13, -17, -101
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-17.js", "JavaScript", -41, 0, 0, 0, 0, 0, 0, 0, -11, -22, -74
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-18.js", "JavaScript", -16, 0, 0, 0, 0, 0, 0, 0, -13, -1, -30
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-19.js", "JavaScript", -31, 0, 0, 0, 0, 0, 0, 0, -13, -22, -66
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-2.js", "JavaScript", -62, 0, 0, 0, 0, 0, 0, 0, -11, -16, -89
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-20.js", "JavaScript", -59, 0, 0, 0, 0, 0, 0, 0, -11, -26, -96
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-21.js", "JavaScript", -81, 0, 0, 0, 0, 0, 0, 0, -15, -20, -116
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-22.js", "JavaScript", -74, 0, 0, 0, 0, 0, 0, 0, -11, -25, -110
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-23.js", "JavaScript", -38, 0, 0, 0, 0, 0, 0, 0, -11, -22, -71
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-24.js", "JavaScript", -60, 0, 0, 0, 0, 0, 0, 0, -13, -32, -105
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-25.js", "JavaScript", -59, 0, 0, 0, 0, 0, 0, 0, -12, -23, -94
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-26.js", "JavaScript", -45, 0, 0, 0, 0, 0, 0, 0, -12, -23, -80
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-27.js", "JavaScript", -44, 0, 0, 0, 0, 0, 0, 0, -12, -20, -76
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-28.js", "JavaScript", -21, 0, 0, 0, 0, 0, 0, 0, -13, -29, -63
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-29.js", "JavaScript", -59, 0, 0, 0, 0, 0, 0, 0, -13, -25, -97
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-3.js", "JavaScript", -59, 0, 0, 0, 0, 0, 0, 0, -11, -15, -85
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-30.js", "JavaScript", -38, 0, 0, 0, 0, 0, 0, 0, -12, -20, -70
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-5.js", "JavaScript", -37, 0, 0, 0, 0, 0, 0, 0, -11, -16, -64
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-6.js", "JavaScript", -51, 0, 0, 0, 0, 0, 0, 0, -11, -16, -78
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-7.js", "JavaScript", -307, 0, 0, 0, 0, 0, 0, 0, -21, -14, -342
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-8.js", "JavaScript", -28, 0, 0, 0, 0, 0, 0, 0, -11, -18, -57
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-9.js", "JavaScript", -69, 0, 0, 0, 0, 0, 0, 0, -13, -18, -100
"d:\CODE-WEB\WEB\user-pc-vite\src\core\match-list\list-template\module\template-common.js", "JavaScript", -129, 0, 0, 0, 0, 0, 0, 0, -64, -3, -196
"d:\workspace\user-pc-vite\README.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 0, 17, 68
"d:\workspace\user-pc-vite\dev-target-env.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 36, 7, 96
"d:\workspace\user-pc-vite\entries\check-sdk-esm\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 6, 15
"d:\workspace\user-pc-vite\entries\check-sdk-esm\check-sdk-esm.vite.config.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 20, 7, 62
"d:\workspace\user-pc-vite\entries\check-sdk-esm\main.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\workspace\user-pc-vite\entries\check-sdk-umd-html\check-sdk-umd-html.vite.config.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 19, 8, 67
"d:\workspace\user-pc-vite\entries\check-sdk-umd-html\index.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\workspace\user-pc-vite\entries\check-sdk-umd-html\self-use-version.vite.config.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 20, 7, 67
"d:\workspace\user-pc-vite\entries\check-sdk-umd\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 6, 15
"d:\workspace\user-pc-vite\entries\check-sdk-umd\check-sdk-esm.vite.config.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 20, 7, 62
"d:\workspace\user-pc-vite\entries\check-sdk-umd\main.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\workspace\user-pc-vite\entries\custom-sdk\1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\workspace\user-pc-vite\entries\custom-sdk\custom-sdk.vite.config.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 20, 7, 62
"d:\workspace\user-pc-vite\entries\custom-version\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 18, 0, 13, 31
"d:\workspace\user-pc-vite\entries\custom-version\custom-version.vite.config.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 19, 1, 60
"d:\workspace\user-pc-vite\entries\custom-version\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\workspace\user-pc-vite\entries\custom-version\main.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 5, 9, 25
"d:\workspace\user-pc-vite\entries\development-document\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 10, 0, 8, 18
"d:\workspace\user-pc-vite\entries\development-document\development-document.vite.config.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 20, 8, 70
"d:\workspace\user-pc-vite\entries\development-document\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\workspace\user-pc-vite\entries\development-document\main.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 5, 6, 21
"d:\workspace\user-pc-vite\entries\development-document\src\components\job_doc.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 118, 5, 8, 131
"d:\workspace\user-pc-vite\entries\development-document\src\components\left_menu.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 43, 8, 7, 58
"d:\workspace\user-pc-vite\entries\development-document\src\components\project_doc.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 73, 7, 6, 86
"d:\workspace\user-pc-vite\entries\development-document\src\components\user_doc.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 843, 16, 24, 883
"d:\workspace\user-pc-vite\entries\development-document\src\components\user_props.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 187, 8, 7, 202
"d:\workspace\user-pc-vite\entries\development-document\src\hooks\useDocApi.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 13, 8, 34
"d:\workspace\user-pc-vite\entries\development-document\src\layouts\layout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 69, 14, 2, 85
"d:\workspace\user-pc-vite\entries\development-document\src\pages\comp_api\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 8, 5, 2, 15
"d:\workspace\user-pc-vite\entries\development-document\src\pages\doc_api\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 64, 5, 5, 74
"d:\workspace\user-pc-vite\entries\development-document\src\pages\doc_api\is_compont.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 29, 5, 2, 36
"d:\workspace\user-pc-vite\entries\development-document\src\styles\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 20, 3, 23
"d:\workspace\user-pc-vite\entries\entries.doc.json", "JSON", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 158
"d:\workspace\user-pc-vite\entries\full-sdk\components.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11
"d:\workspace\user-pc-vite\entries\full-sdk\full-sdk.install.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 5, 17, 62
"d:\workspace\user-pc-vite\entries\full-sdk\full-sdk.vite.config.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 14, 8, 62
