

统计文件路径：./git-console.txt
统计分支为：HEAD/components-1207
统计完整天数：0
统计开始时间：2023-12-26T00:00:00+0800
统计截止时间：2023-12-26T15:15:05+0800


人员                          	增加行数                      	删除行数                      	逻辑行数                       

leong2023                     	0                             	0                             	0                              
jamescarr                     	0                             	0                             	0                              
oba                           	0                             	0                             	0                              
lockie                        	0                             	0                             	0                              
nico                          	0                             	0                             	0                              
Y6C-DUNN-3CF0-T\admin         	0                             	0                             	0                              
jsjinnian                     	0                             	0                             	0                              
dempsey                       	0                             	0                             	0                              
freeze                        	0                             	0                             	0                              
orich                         	0                             	0                             	0                              
merry                         	0                             	0                             	0                              
pasta                         	0                             	0                             	0                              
xiaopeng                      	1                             	4                             	-3                             
xingxing                      	1                             	1                             	0                              
cooper                        	1                             	0                             	1                              
TY-dunn                       	2                             	1                             	1                              
tide                          	2                             	1                             	1                              
jiffy                         	2                             	2                             	0                              
nati                          	3                             	1                             	2                              
Cynthia                       	3                             	0                             	3                              
crafter                       	4                             	3                             	1                              
Jacques                       	7                             	7                             	0                              
rise                          	8                             	7                             	1                              
malick                        	9                             	5                             	4                              
Haku                          	15                            	8                             	7                              
numbers                       	24                            	20                            	4                              
hanmar                        	25                            	15                            	10                             
jamison                       	34                            	21                            	13                             
elrod                         	40                            	17                            	23                             
tybevis                       	88                            	3                             	85                             
dolphin                       	90                            	46                            	44                             
dunn                          	120                           	105                           	15                             
lane                          	136                           	91                            	45                             
lowen                         	215                           	186                           	29                             
jinnian                       	240                           	34                            	206                            

所有人                         	1070                          	578                           	492                            
